2017-05-27 10:08:05.523 [Thread-0] INFO  appium - start appium
2017-05-27 10:08:09.173 [Thread-0] INFO  appium - [Appium] Welcome to Appium v1.6.4
2017-05-27 10:08:09.208 [Thread-0] INFO  appium - [Appium] Appium REST http interface listener started on 0.0.0.0:4723
2017-05-27 10:08:11.894 [Thread-0] INFO  appium - [HTTP] --> POST /wd/hub/session {"capabilities":[{"desiredCapabilities":{"appPackage":"com.ymatou.shop","appActivity":".ui.activity.SplashActivity","noReset":true,"newCommandTimeout":"30","platformVersion":"6.0","automationName":"Appium","browserName":"","unicodeKeyboard":"true","platformName":"Android","deviceName":"INMN8TDIK7QKH6EI","autoAcceptAlerts":true}},{"requiredCapabilities":{}}],"desiredCapabilities":{"appPackage":"com.ymatou.shop","appActivity":".ui.activity.SplashActivity","noReset":true,"newCommandTimeout":"30","platformVersion":"6.0","automationName":"Appium","browserName":"","unicodeKeyboard":"true","platformName":"Android","deviceName":"INMN8TDIK7QKH6EI","autoAcceptAlerts":true},"requiredCapabilities":{}}
2017-05-27 10:08:11.894 [Thread-0] INFO  appium - [debug] [MJSONWP] Calling AppiumDriver.createSession() with args: [{"appPackage":"com.ymatou.shop","appActivity":".ui.activity.SplashActivity","noReset":true,"newCommandTimeout":"30","platformVersion":"6.0","automationName":"Appium","browserName":"","unicodeKeyboard":"true","platformName":"Android","deviceName":"INMN8TDIK7QKH6EI","autoAcceptAlerts":true},{},[{"desiredCapabilities":{"appPackage":"com.ymatou.shop","appActivity":".ui.activity.SplashActivity","noReset":true,"newCommandTimeout":"30","platformVersion":"6.0","automationName":"Appium","browserName":"","unicodeKeyboard":"true","platformName":"Android","deviceName":"INMN8TDIK7QKH6EI","autoAcceptAlerts":true}},{"requiredCapabilities":{}}],null,null]
2017-05-27 10:08:11.894 [Thread-0] INFO  appium - [debug] [BaseDriver] Event 'newSessionRequested' logged at 1495850891889 (10:08:11 GMT+0800 (中国标准时间))
2017-05-27 10:08:11.894 [Thread-0] INFO  appium - [Appium] Creating new AndroidDriver (v1.17.1) session
2017-05-27 10:08:11.894 [Thread-0] INFO  appium - [Appium] Capabilities:
2017-05-27 10:08:11.896 [Thread-0] INFO  appium - [Appium]   appPackage: 'com.ymatou.shop'
2017-05-27 10:08:11.897 [Thread-0] INFO  appium - [Appium]   appActivity: '.ui.activity.SplashActivity'
2017-05-27 10:08:11.897 [Thread-0] INFO  appium - [Appium]   noReset: true
2017-05-27 10:08:11.897 [Thread-0] INFO  appium - [Appium]   newCommandTimeout: '30'
2017-05-27 10:08:11.897 [Thread-0] INFO  appium - [Appium]   platformVersion: '6.0'
2017-05-27 10:08:11.898 [Thread-0] INFO  appium - [Appium]   automationName: 'Appium'
2017-05-27 10:08:11.898 [Thread-0] INFO  appium - [Appium]   browserName: ''
2017-05-27 10:08:11.898 [Thread-0] INFO  appium - [Appium]   unicodeKeyboard: 'true'
2017-05-27 10:08:11.898 [Thread-0] INFO  appium - [Appium]   platformName: 'Android'
2017-05-27 10:08:11.898 [Thread-0] INFO  appium - [Appium]   deviceName: 'INMN8TDIK7QKH6EI'
2017-05-27 10:08:11.899 [Thread-0] INFO  appium - [Appium]   autoAcceptAlerts: true
2017-05-27 10:08:11.901 [Thread-0] INFO  appium - [debug] [AndroidDriver] AndroidDriver version: 1.17.1
2017-05-27 10:08:11.906 [Thread-0] INFO  appium - [BaseDriver] Capability 'unicodeKeyboard' changed from string to boolean. This may cause unexpected behavior
2017-05-27 10:08:11.907 [Thread-0] INFO  appium - [BaseDriver] Capability 'newCommandTimeout' changed from string ('30') to integer (30). This may cause unexpected behavior
2017-05-27 10:08:11.920 [Thread-0] INFO  appium - [BaseDriver] The following capabilities were provided, but are not recognized by appium: autoAcceptAlerts.
2017-05-27 10:08:11.922 [Thread-0] INFO  appium - [BaseDriver] Session created with session id: 16efe0ef-1bd6-4b9b-8f10-0179ac78710e
2017-05-27 10:08:11.924 [Thread-0] INFO  appium - [debug] [AndroidDriver] Getting Java version
2017-05-27 10:08:12.085 [Thread-0] INFO  appium - [AndroidDriver] Java version is: 1.8.0_91
2017-05-27 10:08:12.085 [Thread-0] INFO  appium - 
2017-05-27 10:08:12.089 [Thread-0] INFO  appium - [ADB] Checking whether adb is present
2017-05-27 10:08:12.092 [Thread-0] INFO  appium - [ADB] Using adb.exe from E:\Appium\sdk\platform-tools\adb.exe
2017-05-27 10:08:12.093 [Thread-0] INFO  appium - [AndroidDriver] Retrieving device list
2017-05-27 10:08:12.093 [Thread-0] INFO  appium - [debug] [ADB] Trying to find a connected android device
2017-05-27 10:08:12.094 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:12.323 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:12.324 [Thread-0] INFO  appium - [AndroidDriver] Looking for a device with Android '6.0'
2017-05-27 10:08:12.325 [Thread-0] INFO  appium - [debug] [ADB] Setting device id to INMN8TDIK7QKH6EI
2017-05-27 10:08:12.326 [Thread-0] INFO  appium - [ADB] Getting device platform version
2017-05-27 10:08:12.328 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:12.580 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:12.589 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","getprop","ro.build.version.release"]
2017-05-27 10:08:12.877 [Thread-0] INFO  appium - [AndroidDriver] Using device: INMN8TDIK7QKH6EI
2017-05-27 10:08:12.878 [Thread-0] INFO  appium - [ADB] Checking whether adb is present
2017-05-27 10:08:12.881 [Thread-0] INFO  appium - [ADB] Using adb.exe from E:\Appium\sdk\platform-tools\adb.exe
2017-05-27 10:08:12.882 [Thread-0] INFO  appium - [debug] [ADB] Setting device id to INMN8TDIK7QKH6EI
2017-05-27 10:08:12.883 [Thread-0] INFO  appium - [AndroidDriver] App file was not listed, instead we're going to run com.ymatou.shop directly on the device
2017-05-27 10:08:12.883 [Thread-0] INFO  appium - [debug] [AndroidDriver] Checking whether package is present on the device
2017-05-27 10:08:12.884 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:13.135 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:13.135 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","pm","list","packages","com.ymatou.shop"]
2017-05-27 10:08:14.151 [Thread-0] INFO  appium - [AndroidDriver] Starting Android session
2017-05-27 10:08:14.153 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","wait-for-device"]
2017-05-27 10:08:14.415 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:14.665 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:14.665 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","echo","ping"]
2017-05-27 10:08:14.933 [Thread-0] INFO  appium - [debug] [Logcat] Starting logcat capture
2017-05-27 10:08:15.051 [Thread-0] INFO  appium - [debug] [AndroidDriver] Enabling Unicode keyboard support
2017-05-27 10:08:15.052 [Thread-0] INFO  appium - [debug] [AndroidDriver] Pushing unicode ime to device...
2017-05-27 10:08:15.053 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","install","C:\\Users\\sunsheng\\AppData\\Roaming\\npm\\node_modules\\appium\\node_modules\\appium-android-ime\\bin\\UnicodeIME-debug.apk"]
2017-05-27 10:08:17.270 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:17.513 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
