2017-05-26 18:14:14.281 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-26 18:14:14.435 [main] INFO  com.ymt.tools.YamlUtil - [发送, 分享, 更换, 我想问, 更换, com.ymatou.shop:id/choose_picture, com.ymatou.shop:id/iv_write, com.ymatou.shop:id/rl_include_product_comment, com.ymatou.shop:id/comment]
2017-05-26 18:14:14.438 [main] INFO  com.ymt.tools.YamlUtil - //*[@text='登录']
2017-05-26 18:14:14.439 [main] INFO  com.ymt.tools.YamlUtil - devices:4
2017-05-26 18:16:23.880 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-26 18:16:32.369 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-26 18:18:43.341 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-26 18:18:43.410 [main] INFO  com.ymt.traveler.AndroidTraveler - com.ymt.entity.AndroidCapability@2a556333
2017-05-26 18:19:33.978 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-26 18:19:34.045 [main] INFO  com.ymt.traveler.AndroidTraveler - .ui.activity.SplashActivity
2017-05-26 19:54:17.936 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-26 19:54:17.993 [main] INFO  com.ymt.traveler.AndroidTraveler - .ui.activity.SplashActivity
2017-05-26 19:57:49.078 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-26 19:57:49.135 [main] INFO  com.ymt.traveler.AndroidTraveler - .ui.activity.SplashActivity
2017-05-26 19:58:38.233 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-26 19:58:38.293 [main] INFO  com.ymt.traveler.AndroidTraveler - .ui.activity.SplashActivity
